iter	RMSE
0	0.4803316779
1	0.4720917566
2	0.4658903766
3	0.4590538222
4	0.4528642984
5	0.4463567669
6	0.4415549133
7	0.4361307755
8	0.4308146129
9	0.4265447017
10	0.4216359985
11	0.4174076861
12	0.4128909062
13	0.4087428342
14	0.4049042922
15	0.4014311568
16	0.3983059947
17	0.3950401208
18	0.3919720312
19	0.3893346475
20	0.3862332371
21	0.3838280902
22	0.3810050109
23	0.378745711
24	0.3762667465
25	0.3743767417
26	0.3723781015
27	0.3704924523
28	0.3686550725
29	0.3671891736
30	0.3655771842
31	0.3640360541
32	0.3624598118
33	0.3609460194
34	0.3595253828
35	0.3585880723
36	0.3573243566
37	0.3566889128
38	0.3552956644
39	0.3539367142
40	0.3527077083
41	0.3517599701
42	0.3507858448
43	0.3497362951
44	0.3489244155
45	0.3483799202
46	0.3478634868
47	0.3471938222
48	0.3463850501
49	0.3457330108
50	0.34528886
51	0.344751686
52	0.3442569693
53	0.3435884264
54	0.3433748317
55	0.3428607253
56	0.3421320499
57	0.3412413495
58	0.3406177153
59	0.3401156524
60	0.3395532799
61	0.3388320454
62	0.3385125634
63	0.338067642
64	0.3376592851
65	0.3372224398
66	0.3367251491
67	0.3363227211
68	0.335851336
69	0.3355583988
70	0.3352515045
71	0.3350840513
72	0.3347288324
73	0.3344692713
74	0.3342296075
75	0.3338742309
76	0.3335199006
77	0.3331718109
78	0.3325495228
79	0.3322426368
80	0.3320816719
81	0.3315429203
82	0.3314870674
83	0.3311100616
84	0.3309861025
85	0.3307626122
86	0.3307448557
87	0.3300626714
88	0.3298552275
89	0.3297852228
90	0.3296722005
91	0.3294506652
92	0.3291228204
93	0.328939245
94	0.3286476062
95	0.3282268204
96	0.3281160092
97	0.3280993967
98	0.3279325577
99	0.3276835787
100	0.3274383608
101	0.3273860962
102	0.327143205
103	0.3269072759
104	0.3267533341
105	0.3265474914
106	0.3263422999
107	0.3261961686
108	0.3260397237
109	0.3258044586
110	0.3254026994
111	0.3252621999
112	0.325005887
113	0.3247056215
114	0.3245011254
115	0.3241787183
116	0.3239239622
117	0.3238417692
118	0.3237467781
119	0.3236308123
120	0.3234604879
121	0.3233432505
122	0.3231086628
123	0.3229737523
124	0.3227925208
125	0.3226075012
126	0.3225345175
127	0.3222997041
128	0.3222166328
129	0.3219616363
130	0.3216870589
131	0.3216103593
132	0.3215091873
