iter	Passed	Remaining
0	0	281
1	0	263
2	0	249
3	1	269
4	1	284
5	1	327
6	2	314
7	2	317
8	2	325
9	3	314
10	3	316
11	3	308
12	3	300
13	4	304
14	4	319
15	5	319
16	5	321
17	5	316
18	5	309
19	6	309
20	7	353
21	7	349
22	8	347
23	8	342
24	8	337
25	9	339
26	9	334
27	9	330
28	9	327
29	10	324
30	10	328
31	10	324
32	11	323
33	11	327
34	11	325
35	11	320
36	12	328
37	12	323
38	13	329
39	13	327
40	13	324
41	14	321
42	14	320
43	14	320
44	15	319
45	15	317
46	15	313
47	15	315
48	16	313
49	16	318
50	17	318
51	17	320
52	17	319
53	18	322
54	18	326
55	19	324
56	19	321
57	20	327
58	20	327
59	20	328
60	21	328
61	21	327
62	21	325
63	22	323
64	22	323
65	23	326
66	23	325
67	23	325
68	24	324
69	24	323
70	24	322
71	24	320
72	25	318
73	25	316
74	25	314
75	25	312
76	25	310
77	26	309
78	26	307
79	26	305
80	26	303
81	26	301
82	27	299
83	27	300
84	28	301
85	28	302
86	28	299
87	29	300
88	29	299
89	29	297
90	29	297
91	31	306
92	31	307
93	32	309
94	32	310
95	32	309
96	33	308
97	33	306
98	33	305
99	34	307
100	34	305
101	34	303
102	35	305
103	35	305
104	35	303
105	35	302
106	36	303
107	36	302
108	36	301
109	37	301
110	37	300
111	37	300
112	38	299
113	38	300
114	39	301
115	40	307
116	40	309
117	41	307
118	41	306
119	41	306
120	42	305
121	42	304
122	42	304
123	43	303
124	43	303
125	43	303
126	44	304
127	44	305
128	45	308
129	45	307
130	46	306
131	46	305
132	46	304
133	47	307
134	47	306
135	48	306
136	48	306
137	49	306
138	49	305
139	49	305
140	50	305
141	50	305
142	50	305
143	51	304
144	51	303
145	51	302
146	51	300
147	52	300
148	52	299
149	52	300
150	53	299
151	53	298
152	53	298
153	54	297
154	54	297
155	54	296
156	55	296
157	55	295
158	55	293
159	55	292
160	56	292
161	56	291
162	56	290
163	56	289
164	57	289
165	57	288
166	57	287
167	58	287
168	58	287
169	58	287
170	59	287
171	59	286
172	59	285
173	60	286
174	60	286
175	61	286
176	61	286
177	62	286
178	62	287
179	62	286
180	63	285
181	63	285
182	63	284
183	63	283
184	64	282
185	64	281
186	64	280
187	64	279
188	65	279
189	65	279
190	66	279
191	66	279
192	66	278
193	66	277
194	67	276
195	67	276
196	67	275
197	67	274
198	68	274
199	68	273
200	68	273
201	69	273
202	69	273
203	70	276
204	71	275
205	71	275
206	72	276
207	72	276
208	72	275
209	73	274
210	73	274
211	74	275
212	74	275
213	75	277
214	76	277
215	76	278
216	77	278
217	77	277
218	77	276
219	78	276
220	78	276
221	78	276
222	78	275
223	79	274
224	79	274
225	80	274
226	80	273
227	80	273
228	81	273
229	81	272
230	81	272
231	82	272
232	82	272
233	82	271
234	83	270
235	83	270
236	83	269
237	84	270
238	84	270
239	85	269
240	85	269
241	86	269
242	86	269
243	86	269
244	87	269
245	87	268
246	87	267
247	88	267
248	88	266
249	88	265
250	88	265
251	89	264
252	89	264
253	89	263
254	90	263
255	90	263
256	91	263
257	91	263
258	92	264
259	92	264
260	93	263
261	93	263
262	94	264
263	94	263
264	95	263
265	95	263
266	95	263
267	96	262
268	96	263
269	97	262
270	97	261
271	97	261
272	97	260
273	98	260
274	98	259
275	99	259
276	99	259
277	99	258
278	99	258
279	100	257
280	100	257
281	100	256
282	101	256
283	101	255
284	101	254
285	101	254
286	102	253
287	102	253
288	102	253
289	103	254
290	104	254
291	104	253
292	104	253
293	105	253
294	107	255
295	107	255
296	107	254
297	107	253
298	107	253
299	108	252
300	108	251
301	108	251
302	108	250
303	109	249
304	109	249
305	109	248
306	109	247
307	110	247
308	110	247
309	110	246
310	111	246
311	111	245
312	111	244
313	111	244
314	112	243
315	112	243
316	112	242
317	113	242
318	113	242
319	113	241
320	113	240
321	114	240
322	114	239
323	114	239
324	115	239
325	115	238
326	115	238
327	115	237
328	116	237
329	116	236
330	116	236
331	117	236
332	117	236
333	118	235
334	118	234
335	118	234
336	118	233
337	118	233
338	119	232
339	119	232
340	119	231
341	120	231
342	120	230
343	120	230
344	121	229
345	121	229
346	121	229
347	121	228
348	122	227
349	122	227
350	123	227
351	123	227
352	123	226
353	123	226
354	124	225
355	124	225
356	124	224
357	124	224
358	125	223
359	125	223
360	125	222
361	126	222
362	126	221
363	126	221
364	126	220
365	126	219
366	127	219
367	127	218
368	127	218
369	127	217
370	128	217
371	128	217
372	129	217
373	129	216
374	129	216
375	130	216
376	130	215
377	131	215
378	131	215
379	132	216
380	133	216
381	133	215
382	133	214
383	134	215
384	134	214
385	134	214
386	135	214
387	135	213
388	136	213
389	136	213
390	136	212
391	136	212
392	137	212
393	137	212
394	138	212
395	138	211
396	139	211
397	139	210
398	140	210
399	140	210
400	140	209
401	140	209
402	140	208
403	141	208
404	141	208
405	141	207
406	142	207
407	142	206
408	142	206
409	142	205
410	143	205
411	143	205
412	144	204
413	144	204
414	144	204
415	144	203
416	145	202
417	145	202
418	145	202
419	145	201
420	146	201
421	146	200
422	146	200
423	146	199
424	147	199
425	147	198
426	147	198
427	148	197
428	148	197
429	148	197
430	149	196
431	149	196
432	149	195
433	149	195
434	150	194
435	150	194
436	150	194
437	151	193
438	151	193
439	151	193
440	152	192
441	152	192
442	152	191
443	152	191
